copy_to_clipboard 2Theta I_sum I_diff

  2Theta     I_plus   sI_plus    I_minus  sI_minus      I_sum     I_diff
   22.52  219.22827  22.58804  224.75730  22.85000  443.98557   -5.52903
   22.57  227.76910  22.87305  223.97910  22.71100  451.74820    3.79000
   22.62  224.05956  22.82812  227.28430  22.98400  451.34386   -3.22474
   22.67  223.05585  22.48716  223.40400  22.51200  446.45985   -0.34815
   22.72  223.76494  22.87988  225.13230  22.95100  448.89724   -1.36736
   22.77  220.28548  22.98210  228.58230  23.37300  448.86778   -8.29682
   22.82  216.69290  23.50150  218.83840  23.61400  435.53130   -2.14550
   22.87  228.19495  22.74381  228.32770  22.75900  456.52265   -0.13275
   22.92  225.91874  22.62687  228.86590  22.76700  454.78464   -2.94716
   22.97  231.93155  22.88527  224.89460  22.58100  456.82615    7.03695
   23.02  227.83494  23.10428  226.56920  23.05600  454.40414    1.26574
   23.07  223.63542  23.20062  232.39290  23.61200  456.02832   -8.75748
   23.12  229.41661  22.36426  225.84040  22.21700  455.25701    3.57621
   23.17  232.60892  23.34684  226.07460  23.06000  458.68352    6.53432
   23.22  232.65352  20.28070  227.76390  20.09700  460.41742    4.88962
   23.27  230.53358  21.56741  230.62230  21.58000  461.15588   -0.08872
   23.32  226.02393  30.07146  229.81910  30.30800  455.84303   -3.79517
   23.37  238.23451  31.54903  242.29670  31.80000  480.53121   -4.06219
   23.42  226.98160  21.34336  229.69590  21.46500  456.67750   -2.71430
   23.47  230.79819  20.28202  230.43700  20.27600  461.23519    0.36119
   23.52  230.59949  22.57305  231.06010  22.60200  461.65959   -0.46061
   23.57  232.58041  22.42997  230.42150  22.34500  463.00191    2.15891
   23.62  228.94684  23.18464  228.19650  23.15900  457.14334    0.75034
   23.67  232.01142  23.33970  227.01140  23.12300  459.02282    5.00002
   23.72  233.92437  22.26402  234.72130  22.30600  468.64567   -0.79693
   23.77  232.19030  22.92644  236.52580  23.12500  468.71610   -4.33550
   23.82  235.09940  22.79324  231.59190  22.64900  466.69130    3.50750
   23.87  235.42239  22.83593  238.08110  22.96000  473.50349   -2.65871
   23.92  239.25414  23.66293  237.57950  23.59800  476.83364    1.67464
   23.97  242.40820  23.39215  238.08090  23.21400  480.48910    4.32730
